,id,content
0,250019,Abella de la Conca
1,080018,Abrera
2,250024,Àger
3,250030,Agramunt
4,080023,Aguilar de Segarra
5,170010,Agullana
6,080142,Aiguafreda
7,430017,Aiguamúrcia
8,170025,Aiguaviva
9,250387,Aitona
10,250045,"Alamús, els"
11,250058,Alàs i Cerc
12,250061,"Albagés, l'"
13,170031,Albanyà
14,250077,Albatàrrec
15,250083,Albesa
16,250096,"Albi, l'"
17,430022,Albinyana
18,430038,"Albiol, l'"
19,170046,Albons
20,430043,Alcanar
21,250100,Alcanó
22,250117,Alcarràs
23,250122,Alcoletge
24,430056,Alcover
25,439044,"Aldea, l'"
26,430069,Aldover
27,430075,"Aleixar, l'"
28,080039,Alella
29,430081,Alfara de Carles
30,250138,Alfarràs
31,250143,Alfés
32,430094,Alforja
33,250156,Algerri
34,250169,Alguaire
35,250175,Alins
36,430108,Alió
37,250194,Almacelles
38,250208,Almatret
39,250215,Almenar
40,430115,Almoster
41,250220,Alòs de Balaguer
42,170062,Alp
43,080044,Alpens
44,250236,Alpicat
45,250241,Alt Àneu
46,430120,Altafulla
47,170078,Amer
48,430136,"Ametlla de Mar, l'"
49,080057,"Ametlla del Vallès, l'"
50,439060,"Ampolla, l'"
51,430141,Amposta
52,170084,Anglès
53,250273,Anglesola
54,250292,Arbeca
55,430167,"Arboç, l'"
56,430154,Arbolí
57,170097,Arbúcies
58,080060,Arenys de Mar
59,080076,Arenys de Munt
60,170101,Argelaguer
61,080082,Argençola
62,430173,"Argentera, l'"
63,080095,Argentona
64,170118,"Armentera, l'"
65,430189,Arnes
66,250313,Arres
67,250328,Arsèguel
68,080109,Artés
69,250334,Artesa de Lleida
70,250349,Artesa de Segre
71,430192,Ascó
72,250365,Aspa
73,250371,"Avellanes i Santa Linya, les"
74,080116,Avià
75,080121,Avinyó
76,170123,Avinyonet de Puigventós
77,080137,Avinyonet del Penedès
78,080155,Badalona
79,089045,Badia del Vallès
80,080168,Bagà
81,250390,Baix Pallars
82,250404,Balaguer
83,080174,Balenyà
84,080180,Balsareny
85,430206,Banyeres del Penedès
86,170157,Banyoles
87,250411,Barbens
88,430213,Barberà de la Conca
89,082520,Barberà del Vallès
90,080193,Barcelona
91,250426,"Baronia de Rialb, la"
92,170160,Bàscara
93,250447,Bassella
94,430228,Batea
95,250450,Bausen
96,080207,Begues
97,170139,Begur
98,250463,Belianes
99,250485,Bell-lloc d'Urgell
100,251706,Bellaguarda
101,170182,Bellcaire d'Empordà
102,250479,Bellcaire d'Urgell
103,250498,Bellmunt d'Urgell
104,430234,Bellmunt del Priorat
105,080214,Bellprat
106,250501,Bellpuig
107,430249,Bellvei
108,250518,Bellver de Cerdanya
109,250523,Bellvís
110,250539,Benavent de Segrià
111,430252,Benifallet
112,430265,Benissanet
113,080229,Berga
114,170195,Besalú
115,170209,Bescanó
116,170216,Beuda
117,080235,Bigues i Riells del Fai
118,250557,Biosca
119,170221,"Bisbal d'Empordà, la"
120,430271,"Bisbal de Falset, la"
121,430287,"Bisbal del Penedès, la"
122,172348,Biure
123,430290,Blancafort
124,170237,Blanes
125,170293,Boadella i les Escaules
126,170242,Bolvir
127,430304,Bonastre
128,250576,"Bòrdes, Es"
129,170255,Bordils
130,250582,"Borges Blanques, les"
131,430311,"Borges del Camp, les"
132,170268,Borrassà
133,080240,Borredà
134,250595,Bossòst
135,430326,Bot
136,430332,Botarell
137,250560,Bovera
138,430347,Bràfim
139,170274,Breda
140,080253,"Bruc, el"
141,080266,"Brull, el"
142,170280,Brunyola i Sant Martí Sapresa
143,430350,Cabacés
144,250609,Cabanabona
145,170314,Cabanelles
146,170307,Cabanes
