,Name,Status,Province,PopulationCensus1981-03-01,PopulationCensus1991-03-01,PopulationCensus2001-11-01,PopulationCensus2011-11-01,PopulationEstimate2021-01-01,Unnamed: 8
0,Abella de la Conca,Municipality,Lleida,184,164,179,172,171,→
1,Abrera,Municipality,Barcelona,4221,5464,8624,11815,12620,→
2,Àger (Ager),Municipality,Lleida,684,592,516,588,588,→
3,Agramunt,Municipality,Lleida,4649,4803,4759,5612,5464,→
4,Aguilar de Segarra,Municipality,Barcelona,219,191,220,252,286,→
5,Agullana,Municipality,Girona,693,690,668,839,885,→
6,Aiguafreda,Municipality,Barcelona,2034,2063,2155,2469,2556,→
7,Aiguamúrcia (Aiguamurcia),Municipality,Tarragona,608,565,648,896,960,→
8,Aiguaviva,Municipality,Girona,330,354,496,776,789,→
9,Aitona,Municipality,Lleida,2258,2259,2179,2409,2493,→
10,Alàs i Cerc (Alás Serch),Municipality,Lleida,465,403,400,374,322,→
11,Albanyà (Albañá),Municipality,Girona,122,109,99,142,178,→
12,Albatàrrec (Albatarrech),Municipality,Lleida,1066,1009,1224,2078,2224,→
13,Albesa,Municipality,Lleida,1454,1462,1490,1660,1561,→
14,Albinyana (Albiñana),Municipality,Tarragona,578,777,1630,2358,2504,→
15,Albons,Municipality,Girona,481,455,534,707,798,→
16,Alcanar,Municipality,Tarragona,7959,7848,8032,10399,9579,→
17,Alcanó,Municipality,Lleida,310,289,256,237,233,→
18,Alcarràs (Alcarrás),Municipality,Lleida,4323,4507,4788,8644,9678,→
19,Alcoletge,Municipality,Lleida,1407,1517,1784,3148,3492,→
20,Alcover,Municipality,Tarragona,3444,3379,3966,5119,5185,→
21,Aldover,Municipality,Tarragona,875,823,774,955,911,→
22,Alella,Municipality,Barcelona,3381,6895,8470,9582,9954,→
23,Alfara de Carles,Municipality,Tarragona,446,391,346,407,376,→
24,Alfarràs (Alfarrás),Municipality,Lleida,3189,3018,2968,3073,2759,→
25,Alfés,Municipality,Lleida,355,337,328,339,301,→
26,Alforja,Municipality,Tarragona,1136,1088,1344,1841,1843,→
27,Algerri,Municipality,Lleida,639,554,499,439,423,→
28,Alguaire,Municipality,Lleida,2883,2859,2724,3097,3065,→
29,Alins,Municipality,Lleida,313,307,272,302,279,→
30,Alió,Municipality,Tarragona,348,336,375,398,478,→
31,Almacelles (Almacellas),Municipality,Lleida,5321,5496,5623,6682,6875,→
32,Almatret,Municipality,Lleida,619,553,463,357,310,→
33,Almenar,Municipality,Lleida,3636,3573,3464,3627,3365,→
34,Almoster,Municipality,Tarragona,371,473,945,1372,1322,→
35,Alòs de Balaguer (Alós de Balaguer),Municipality,Lleida,184,165,167,137,122,→
36,Alp,Municipality,Girona,883,908,1219,1716,1645,→
37,Alpens,Municipality,Barcelona,255,249,278,296,269,→
38,Alpicat,Municipality,Lleida,1806,2591,4416,6189,6274,→
